token	entity	coreference_cluster	1 – препарат, 2 – кандидат в анафоры
не			
в			
то			
время			
и			
не			
в			
той			
стране			
где			
первому			
встречному			
врачу			
нужно			
априори			
100			
доверять			
своё			
здоровье			
и			
свою			
жизнь			
особенно			
в			
такой			
малоисследованной			
области			
как			
психиатрия			
Слишком			
много			
плохих			
специалистов			
слишком			
много			
равнодушия			
и			
т.д			
и			
т.п			
..			
"

"			
Цитата			
"
"			
стоит			
задача			
побыстрее			
купировать			
продуктивную			
симптоматику			
"
"			
А			
это			
объясняется			
очень			
просто			
Здоровье			
пациента			
ставится			
по			
приоритету			
ниже			
спокойствия			
медперсонала			
в			
больницах			
Так			
проще			
легче			
и			
дешевле			
а			
дальнейшее			
качество			
жизни			
и			
самочувствие			
пациента			
мало			
кого			
волнует			
лишь			
бы			
по			
городу			
в			
буйном			
состоянии			
не			
бегал			
Дополнительный			
вопрос			
"

"			
А			
будут			
ли			
в			
будущем			
подобные			
FAQ'и			
по			
другим			
вопросам			
Ну			
к			
примеру			
антидепрессивная			
и			
нормотимическая			
терапия			
или			
что			
то			
в			
этом			
духе			
....			
"
"			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
По			
моему			
очень			
полезная			
статья			
кратко			
объясняющая			
основные			
принципы			
антипсихотической			
терапии			
которых			
к			
сожалению			
даже			
врачи(особенно			
врачи			
старой			
закалки			
многие			
не			
знают			
Так			
же			
интересно			
для			
пациентов			
и			
родственников			
пациентов			
даже			
не			
ради			
популяризации			
самолечения			
а			
потому			
что			
имея			
подобные			
знания			
можно			
оценить			
уровень			
подхода			
и			
профессионализм			
своего			
лечащего			
врача			
и			
избежать			
в			
случае			
чего			
потерянного			
времени			
или			
даже			
каких			
то			
проблем			
Т.е			
сменить			
врача			
если			
тот			
до			
сих			
пор			
следует			
стандартами			
70-х			
годов			
прошлого			
века			
Вообще			
я			
считаю			
что			
мы			
живём			
не			
в			
то			
время			
и			
не			
в			
той			
стране			
где			
первому			
встречному			
врачу			
нужно			
априори			
100			
доверять			
своё			
здоровье			
и			
свою			
жизнь			
особенно			
в			
такой			
малоисследованной			
области			
как			
психиатрия			
Слишком			
много			
плохих			
специалистов			
слишком			
много			
равнодушия			
и			
т.д			
и			
т.п			
..			
"
"			
Ну			
да			
для			
этого			
и			
писалось			
Для			
самообразования			
и			
врачей			
и			
пациентов			
и			
родственников			
И			
для			
того			
чтобы			
пациенты			
и			
их			
родственники			
были			
в			
состоянии			
оценить			
уровень			
профессионализма			
знаний			
и			
компетентности			
врача			
и			
сделать			
правильный			
и			
обоснованный			
выбор			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
А			
это			
объясняется			
очень			
просто			
Здоровье			
пациента			
ставится			
по			
приоритету			
ниже			
спокойствия			
медперсонала			
в			
больницах			
Так			
проще			
легче			
и			
дешевле			
а			
дальнейшее			
качество			
жизни			
и			
самочувствие			
пациента			
мало			
кого			
волнует			
лишь			
бы			
по			
городу			
в			
буйном			
состоянии			
не			
бегал			
На			
это			
там			
тоже			
есть			
прямые			
указания			
что			
НЕ			
СЛЕДУЕТ			
путать			
неспецифический			
седативный			
эффект			
вялость			
заторможенность			
и			
апатию			
скованность			
и			
моторное			
связывание			
с			
истинным			
антипсихотическим			
эффектом			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
Дополнительный			
вопрос			
"

"			
А			
будут			
ли			
в			
будущем			
подобные			
FAQ'и			
по			
другим			
вопросам			
Ну			
к			
примеру			
антидепрессивная			
и			
нормотимическая			
терапия			
или			
что			
то			
в			
этом			
духе			
....			
"
"			
Хороший			
и			
правильный			
вопрос			
Будут			
и			
уже			
пишутся			
"
"			
Да			
нужны			
Но			
всегда			
надо			
помнить			
что			
на			
каждое			
правило			
найдётся			
своё			
исключение			
Интересно			
было			
бы			
почитать			
FAQ			
по			
антидепрессантам			
и			
нормотимикам			
"
"			
Maxim			
сказал(а			
14			
Янв			
2010			
10:37			
ПП			
"
"			
Лично			
моя			
роль			
минимальна			
FAQ			
по			
сути			
создали			
Роман			
и			
Илья			
Максим			
не			
прибедняйся			
Ты			
написал			
несколько			
вопросов			
не			
пришедших			
в			
голову			
мне			
самому			
и			
ответы			
на			
них			
дополнил			
раздел			
про			
клозапин			
и			
причины			
того			
почему			
он			
не			
является			
препаратом			
первой			
линии			
целиком			
написал			
раздел			
про			
применение			
НЛ			
у			
детей			
Конечно			
процентов			
70			
80			
текста			
мои			
ссылки			
на			
РКИ			
руководства			
и			
гайдлайнсы			
проставил			
Илья			
но			
ведь			
редактировали			
и			
правили			
формулировки			
все			
вместе			
Так			
что			
не			
преуменьшай			
свой			
вклад			
в			
составление			
FAQ			
"

"			
Maxim			
сказал(а			
14			
Янв			
2010			
10:37			
ПП			
"
"			
FAQ			
крайне			
полезен			
даже			
считаю			
что			
было			
бы			
очень			
неплохо			
если			
бы			
он			
был			
издан			
в			
бумажной			
версии			
и			
распространен			
по			
РФ			
После			
окончательной			
доработки			
конечно			
Это			
в			
планах			
"
"			
Я			
больше			
скажу			
есть			
дальние			
планы			
большой			
и			
толстой			
монографии			
по			
современной			
ПФТ			
Опыт			
Быкова			
с			
книжечкой			
о			
резистентных			
депрессиях			
некоторым			
образом			
вдохновляет			
Но			
книжечку			
эту			
есть			
за			
что			
критиковать			
если			
честно			
"
"			
rombeck			
сказал(а			
14			
Янв			
2010			
12:19			
ПП			
"
"			
Буду			
благодарен			
за			
отклики			
замечания			
пожелания			
комментарии			
исправления			
и			
дополнения			
от			
коллег			
а			
также			
любую			
конструктивную			
критику			
Спасибо			
коллективу			
авторов			
за			
проделанную			
работу			
В			
пожеланиях			
аналогичная			
подборка			
по			
антидепрессантам			
и			
нормотимикам			
"
"			
Читать			
не			
очень			
удобно			
Выделение			
Q			
и			
A			
одним			
цветом			
в			
первую			
очередь			
и			
немного			
хаотично			
выделенно			
потом			
нет			
ПОтом			
опять			
и			
синим			
..			
Если			
это			
особыенные			
разделы			
можно			
их			
пометить			
как			
нибудь			
Шрифт			
неудобоварим			
Не			
мойму			
почему			
вроде			
черным			
по			
белому			
Незнаю			
Если			
я			
один			
только			
это			
заметил			
пардон			
В			
остальном			
здорого			
читаю			
"
"			
Dark			
сказал(а			
15			
Янв			
2010			
10:44			
ДП			
"
"			
Да			
нужны			
Но			
всегда			
надо			
помнить			
что			
на			
каждое			
правило			
найдётся			
своё			
исключение			
У			
правила			
о			
нецелесообразности			
и			
бессмысленности			
сочетания			
нескольких			
типиков			
или			
типика			
с			
атипиком			
за			
исключением			
сочетания			
АП			
доз			
клозапина			
с			
малыми			
дозами			
селективных			
D2-блокаторов			
или			
момента			
перевода			
больного			
с			
одного			
препарата			
на			
другой			
методом			
наложения			
не			
существует			
никаких			
разумных			
исключений			
Равно			
как			
и			
у			
правила			
о			
недопустимости			
необоснованного			
изначального			
завышения			
доз			
НЛ			
И			
у			
правила			
о			
недопустимости			
игнорирования			
акатизии			
и			
ЭПС			
И			
у			
правила			
о			
том			
что			
атипичные			
антипсихотики			
в			
настоящее			
время			
являются			
препаратами			
первой			
линии			
а			
типики			
следует			
считать			
препаратами			
резерва			
для			
тех			
кому			
не			
помогают			
атипики			
Dark			
сказал(а			
15			
Янв			
2010			
10:44			
ДП			
"
"			
Интересно			
было			
бы			
почитать			
FAQ			
по			
антидепрессантам			
и			
нормотимикам			
Уже			
пишем			
"
"			
goodsession			
сказал(а			
15			
Янв			
2010			
3:22			
ПП			
"
"			
Читать			
не			
очень			
удобно			
Выделение			
Q			
и			
A			
одним			
цветом			
в			
первую			
очередь			
и			
немного			
хаотично			
выделенно			
потом			
нет			
ПОтом			
опять			
и			
синим			
..			
Если			
это			
особыенные			
разделы			
можно			
их			
пометить			
как			
нибудь			
Шрифт			
неудобоварим			
Не			
мойму			
почему			
вроде			
черным			
по			
белому			
Незнаю			
Если			
я			
один			
только			
это			
заметил			
пардон			
В			
остальном			
здорого			
читаю			
"
"			
Это			
какой			
то			
глюк			
Google			
Docs			
в			
оригинале			
нет			
выделения			
синим			
..			
И			
все			
такое			
Думаю			
сделать			
PDF			
и			
в			
виде			
PDF			
выложить			
наверное			
будет			
лучше			
"
"			
Устав			
отвечать			
на			
одни			
и			
те			
же			
вопросы			
об			
АП			
терапии			
о			
том			
чем			
плоха			
полинейролепсия			
чем			
плохо			
завышение			
дозировок			
НЛ			
и			
т.д			
бесконечное			
множество			
раз			
некоторое			
время			
назад			
я			
занялся			
составлением			
FAQ			
по			
антипсихотической			
терапии			
Позже			
к			
разработке			
FAQ			
присоединились			
и			
внесли			
большой			
вклад			
в			
окончательную			
его			
версию			
Илья			
Антипин			
PsyDoc			
Максим			
Резников			
Maxim			
Алексей			
Олексеев			
shidox			
Предполагалось			
повесить			
этот			
FAQ			
в			
разделе			
файлов			
на			
форуме			
ПР			
и			
здесь			
на			
нейролептике			
Однако			
этот			
процесс			
затормозился			
Илья			
хотел			
чтобы			
первичная			
публикация			
состоялась			
на			
psychonet			
который			
все			
никак			
не			
откроется			
А			
между			
тем			
информация			
содержащаяся			
в			
этои			
FAQ			
будет			
на			
мой			
взгляд			
весьма			
полезна			
как			
коллегам			
так			
и			
пациентам			
и			
поможет			
избежать			
многих			
типичных			
ошибок			
и			
заблуждений			
а			
заодно			
и			
избавит			
от			
множества			
недоуменных			
вопросов			
в			
стиле			
Сорокина			
если			
сто			
врачей			
на			
Пряжке			
назначают			
трифтазин			
с			
галоперидолом			
они			
что			
все			
устаревшие			
и			
все			
коновалы			
аргумент			
в			
стиле			
миллион			
леммингов			
не			
может			
ошибаться			
и			
от			
некомпетентных			
высказываний			
некоторых			
врачей			
вроде			
Иры			
А.			
У.			
доктор			
достаточно			
стандартные			
назначения			
сделал			
стоит			
задача			
побыстрее			
купировать			
продуктивную			
симптоматику			
Поэтому			
я			
принял			
решение			
опубликовать			
этот			
FAQ			
для			
всеобщего			
доступа			
на			
Google			
Docs			
где			
он			
и			
писался			
Ознакомиться			
с			
текстом			
FAQ			
можно			
по			
ссылке			
http://docs.google.c			
...			
bt8pp_2mrcvzsnr			
"

"			
Буду			
благодарен			
за			
отклики			
замечания			
пожелания			
комментарии			
исправления			
и			
дополнения			
от			
коллег			
а			
также			
любую			
конструктивную			
критику			
"
"			
Лично			
моя			
роль			
минимальна			
FAQ			
по			
сути			
создали			
Роман			
и			
Илья			
FAQ			
крайне			
полезен			
даже			
считаю			
что			
было			
бы			
очень			
неплохо			
если			
бы			
он			
был			
издан			
в			
бумажной			
версии			
и			
распространен			
по			
РФ			
После			
окончательной			
доработки			
конечно			
"
"			
По			
моему			
очень			
полезная			
статья			
кратко			
объясняющая			
основные			
принципы			
антипсихотической			
терапии			
которых			
к			
сожалению			
даже			
врачи(особенно			
врачи			
старой			
закалки			
многие			
не			
знают			
Так			
же			
интересно			
для			
пациентов			
и			
родственников			
пациентов			
даже			
не			
ради			
популяризации			
самолечения			
а			
потому			
что			
имея			
подобные			
знания			
можно			
оценить			
уровень			
подхода			
и			
профессионализм			
своего			
лечащего			
врача			
и			
избежать			
в			
случае			
чего			
потерянного			
времени			
или			
даже			
каких			
то			
проблем			
Т.е			
сменить			
врача			
если			
тот			
до			
сих			
пор			
следует			
стандартами			
70-х			
годов			
прошлого			
века			
Вообще			
я			
считаю			
что			
мы			
живём			
не			
в			
то			
время			
и			
не			
в			
той			
стране			
где			
первому			
встречному			
врачу			
нужно			
априори			
100			
доверять			
своё			
здоровье			
и			
свою			
жизнь			
особенно			
в			
такой			
малоисследованной			
области			
как			
психиатрия			
Слишком			
много			
плохих			
специалистов			
слишком			
много			
равнодушия			
и			
т.д			
и			
т.п			
..			
"

"			
Цитата			
"
"			
стоит			
задача			
побыстрее			
купировать			
продуктивную			
симптоматику			
"
"			
А			
это			
объясняется			
очень			
просто			
Здоровье			
пациента			
ставится			
по			
приоритету			
ниже			
спокойствия			
медперсонала			
в			
больницах			
Так			
проще			
легче			
и			
дешевле			
а			
дальнейшее			
качество			
жизни			
и			
самочувствие			
пациента			
мало			
кого			
волнует			
лишь			
бы			
по			
городу			
в			
буйном			
состоянии			
не			
бегал			
Дополнительный			
вопрос			
"

"			
А			
будут			
ли			
в			
будущем			
подобные			
FAQ'и			
по			
другим			
вопросам			
Ну			
к			
примеру			
антидепрессивная			
и			
нормотимическая			
терапия			
или			
что			
то			
в			
этом			
духе			
....			
"
"			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
По			
моему			
очень			
полезная			
статья			
кратко			
объясняющая			
основные			
принципы			
антипсихотической			
терапии			
которых			
к			
сожалению			
даже			
врачи(особенно			
врачи			
старой			
закалки			
многие			
не			
знают			
Так			
же			
интересно			
для			
пациентов			
и			
родственников			
пациентов			
даже			
не			
ради			
популяризации			
самолечения			
а			
потому			
что			
имея			
подобные			
знания			
можно			
оценить			
уровень			
подхода			
и			
профессионализм			
своего			
лечащего			
врача			
и			
избежать			
в			
случае			
чего			
потерянного			
времени			
или			
даже			
каких			
то			
проблем			
Т.е			
сменить			
врача			
если			
тот			
до			
сих			
пор			
следует			
стандартами			
70-х			
годов			
прошлого			
века			
Вообще			
я			
считаю			
что			
мы			
живём			
не			
в			
то			
время			
и			
не			
в			
той			
стране			
где			
первому			
встречному			
врачу			
нужно			
априори			
100			
доверять			
своё			
здоровье			
и			
свою			
жизнь			
особенно			
в			
такой			
малоисследованной			
области			
как			
психиатрия			
Слишком			
много			
плохих			
специалистов			
слишком			
много			
равнодушия			
и			
т.д			
и			
т.п			
..			
"
"			
Ну			
да			
для			
этого			
и			
писалось			
Для			
самообразования			
и			
врачей			
и			
пациентов			
и			
родственников			
И			
для			
того			
чтобы			
пациенты			
и			
их			
родственники			
были			
в			
состоянии			
оценить			
уровень			
профессионализма			
знаний			
и			
компетентности			
врача			
и			
сделать			
правильный			
и			
обоснованный			
выбор			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
А			
это			
объясняется			
очень			
просто			
Здоровье			
пациента			
ставится			
по			
приоритету			
ниже			
спокойствия			
медперсонала			
в			
больницах			
Так			
проще			
легче			
и			
дешевле			
а			
дальнейшее			
качество			
жизни			
и			
самочувствие			
пациента			
мало			
кого			
волнует			
лишь			
бы			
по			
городу			
в			
буйном			
состоянии			
не			
бегал			
На			
это			
там			
тоже			
есть			
прямые			
указания			
что			
НЕ			
СЛЕДУЕТ			
путать			
неспецифический			
седативный			
эффект			
вялость			
заторможенность			
и			
апатию			
скованность			
и			
моторное			
связывание			
с			
истинным			
антипсихотическим			
эффектом			
DmitriyB			
сказал(а			
15			
Янв			
2010			
08:43			
ДП			
"
"			
Дополнительный			
вопрос			
"

"			
А			
будут			
ли			
в			
будущем			
подобные			
FAQ'и			
по			
другим			
вопросам			
Ну			
к			
примеру			
антидепрессивная			
и			
нормотимическая			
терапия			
или			
что			
то			
в			
этом			
духе			
....			
"
"			
Хороший			
и			
правильный			
вопрос			
Будут			
и			
уже			
пишутся			
"
"			
Да			
нужны			
Но			
всегда			
надо			
помнить			
что			
на			
каждое			
правило			
найдётся			
своё			
исключение			
Интересно			
было			
бы			
почитать			
FAQ			
по			
антидепрессантам			
и			
нормотимикам			
"
"			
Maxim			
сказал(а			
14			
Янв			
2010			
10:37			
ПП			
"
"			
Лично			
моя			
роль			
минимальна			
FAQ			
по			
сути			
создали			
Роман			
и			
Илья			
Максим			
не			
прибедняйся			
Ты			
написал			
несколько			
вопросов			
не			
пришедших			
в			
голову			
мне			
самому			
и			
ответы			
на			
них			
дополнил			
раздел			
про			
клозапин			
и			
причины			
того			
почему			
он			
не			
является			
препаратом			
первой			
линии			
целиком			
написал			
раздел			
про			
применение			
НЛ			
у			
детей			
Конечно			
процентов			
70			
80			
текста			
мои			
ссылки			
на			
РКИ			
руководства			
и			
гайдлайнсы			
проставил			
Илья			
но			
ведь			
редактировали			
и			
правили			
формулировки			
все			
вместе			
Так			
что			
не			
преуменьшай			
свой			
вклад			
в			
составление			
FAQ			
"

"			
Maxim			
сказал(а			
14			
Янв			
2010			
10:37			
ПП			
"
"			
FAQ			
крайне			
полезен			
даже			
считаю			
что			
было			
бы			
очень			
неплохо			
если			
бы			
он			
был			
издан			
в			
бумажной			
версии			
и			
распространен			
по			
РФ			
После			
окончательной			
доработки			
конечно			
Это			
в			
планах			
"
"			
Я			
больше			
скажу			
есть			
дальние			
планы			
большой			
и			
толстой			
монографии			
по			
современной			
ПФТ			
Опыт			
Быкова			
с			
книжечкой			
о			
резистентных			
депрессиях			
некоторым			
образом			
вдохновляет			
Но			
книжечку			
эту			
есть			
за			
что			
критиковать			
если			
честно			
"
"			
rombeck			
сказал(а			
14			
Янв			
2010			
12:19			
ПП			
"
"			
Буду			
благодарен			
за			
отклики			
замечания			
пожелания			
комментарии			
исправления			
и			
дополнения			
от			
коллег			
а			
также			
любую			
конструктивную			
критику			
Спасибо			
коллективу			
авторов			
за			
проделанную			
работу			
В			
пожеланиях			
аналогичная			
подборка			
по			
антидепрессантам			
и			
нормотимикам			
"
"			
Читать			
не			
очень			
удобно			
Выделение			
Q			
и			
A			
одним			
цветом			
в			
первую			
очередь			
и			
немного			
хаотично			
выделенно			
потом			
нет			
ПОтом			
опять			
и			
синим			
..			
Если			
это			
особыенные			
разделы			
можно			
их			
пометить			
как			
нибудь			
Шрифт			
неудобоварим			
Не			
мойму			
почему			
вроде			
черным			
по			
белому			
Незнаю			
Если			
я			
один			
только			
это			
заметил			
пардон			
В			
остальном			
здорого			
читаю			
"
"			
Dark			
сказал(а			
15			
Янв			
2010			
10:44			
ДП			
"
"			
Да			
нужны			
Но			
всегда			
надо			
помнить			
что			
на			
каждое			
правило			
найдётся			
своё			
исключение			
У			
правила			
о			
нецелесообразности			
и			
бессмысленности			
сочетания			
нескольких			
типиков			
или			
типика			
с			
атипиком			
за			
исключением			
сочетания			
АП			
доз			
клозапина			
с			
малыми			
дозами			
селективных			
D2-блокаторов			
или			
момента			
перевода			
больного			
с			
одного			
препарата			
на			
другой			
методом			
наложения			
не			
существует			
никаких			
разумных			
исключений			
Равно			
как			
и			
у			
правила			
о			
недопустимости			
необоснованного			
изначального			
завышения			
доз			
НЛ			
И			
у			
правила			
о			
недопустимости			
игнорирования			
акатизии			
и			
ЭПС			
И			
у			
правила			
о			
том			
что			
атипичные			
антипсихотики			
в			
настоящее			
время			
являются			
препаратами			
первой			
линии			
а			
типики			
следует			
считать			
препаратами			
резерва			
для			
тех			
кому			
не			
помогают			
атипики			
Dark			
сказал(а			
15			
Янв			
2010			
10:44			
ДП			
"
"			
Интересно			
было			
бы			
почитать			
FAQ			
по			
антидепрессантам			
и			
нормотимикам			
Уже			
пишем			
"
"			
goodsession			
сказал(а			
15			
Янв			
2010			
3:22			
ПП			
"
"			
Читать			
не			
очень			
удобно			
Выделение			
Q			
и			
A			
одним			
цветом			
в			
первую			
очередь			
и			
немного			
хаотично			
выделенно			
потом			
нет			
ПОтом			
опять			
и			
синим			
..			
Если			
это			
особыенные			
разделы			
можно			
их			
пометить			
как			
нибудь			
Шрифт			
неудобоварим			
Не			
мойму			
почему			
вроде			
черным			
по			
белому			
Незнаю			
Если			
я			
один			
только			
это			
заметил			
пардон			
В			
остальном			
здорого			
читаю			
"
"			
Это			
какой			
то			
глюк			
Google			
Docs			
в			
оригинале			
нет			
выделения			
синим			
..			
И			
все			
такое			
Думаю			
сделать			
PDF			
и			
в			
виде			
PDF			
выложить			
наверное			
будет			
лучше			
"
"			
Люди			
просто			
шикарно			
Ух			
если			
б			
Вы			
такой			
же			
FAQ			
по			
фармакотерапии			
депрессии			
написали			
цены			
бы			
Вам			
не			
было			
...			
"
"			
Причем			
очень			
желательно			
просветить			
народ			
в			
плане			
того			
как			
разные			
другие			
препараты			
нормотимики			
атипичные			
нейролептики			
транквилизаторы			
и			
др			
влияют			
на			
проводимую			
терапию			
антидепрессантами			
Ато			
это			
народ			
вообще			
почти			
не			
знает			
...			
"
"			
rombeck			
сказал(а			
15			
Янв			
2010			
08:12			
ДП			
"
"			
от			
некомпетентных			
высказываний			
некоторых			
врачей			
вроде			
Иры			
А.			
У.			
доктор			
достаточно			
стандартные			
назначения			
сделал			
стоит			
задача			
побыстрее			
купировать			
продуктивную			
симптоматику			
Благодарю			
за			
внимание			
к			
моей			
скромной			
персоне			
Если			
бы			
ещё			
и			
контекст			
был			
указан			
откуда			
мои			
цитаты			
выдернуты			
и			
который			
меняет			
смысл			
сказанного			
весьма			
сильно(вплоть			
до			
противоположного),то			
счастью			
моему			
не			
было			
бы			
предела			
Не			
надо			
мне			
сирой			
приписывать			
шедевры			
авторство			
которых			
мне			
непринадлежащит			
Простите			
за			
оффтоп			
не			
сдержала			
восторженных			
чуйств			
RTF			
сказал(а			
16			
Янв			
2010			
11:38			
ДП			
"
"			
Люди			
просто			
шикарно			
Ух			
если			
б			
Вы			
такой			
же			
FAQ			
по			
фармакотерапии			
депрессии			
написали			
цены			
бы			
Вам			
не			
было			
...			
"
"			
Причем			
очень			
желательно			
просветить			
народ			
в			
плане			
того			
как			
разные			
другие			
препараты			
нормотимики			
атипичные			
нейролептики			
транквилизаторы			
и			
др			
влияют			
на			
проводимую			
терапию			
антидепрессантами			
Ато			
это			
народ			
вообще			
почти			
не			
знает			
...			
"

"			
Почитать			
будет			
интересно			
может			
когда			
и			
применить			
что			
то			
получится			
Пару			
тройку			
раз			
"
"			
rombeck			
сказал(а			
14			
Янв			
2010			
12:19			
ПП			
"
"			
Поэтому			
я			
принял			
решение			
опубликовать			
этот			
FAQ			
для			
всеобщего			
доступа			
на			
Google			
Docs			
где			
он			
и			
писался			
Ознакомиться			
с			
текстом			
FAQ			
можно			
по			
ссылке			
http://docs.google.c			
...			
bt8pp_2mrcvzsnr			
"

"			
Буду			
благодарен			
за			
отклики			
замечания			
пожелания			
комментарии			
исправления			
и			
дополнения			
от			
коллег			
а			
также			
любую			
конструктивную			
критику			
FAQ			
неожиданно			
порадовал			
своей			
иформативностью			
разложено			
все			
по			
полочкам			
и			
в			
доступной			
форме			
Вместе			
с			
тем			
о			
ТИПИКАХ			
сложилось			
впечатление			
как			
о			
крайне			
тягостных			
на			
грани			
с			
непереносимостью			
лекарственных			
средствах			
для			
пациента			
Большое			
внимание			
уделено			
побочным			
действиям			
этого			
класса			
веществ			
FAQ			
заставляет			
задуматься			
пациента			
об			
отложении			
вопроса			
по			
их			
приему			
до			
лучших			
времен			
целесообразнее			
не			
спешить			
и			
дождаться			
следующего			
поколения			
антипсихотиков			
Принимать			
эти			
сырые			
впопыхах			
выкинутые			
на			
рынок			
или			
имеющих			
древнюю			
историю			
суррогаты			
опасно			
для			
здоровья			
"
"			
Т+А			
сказал(а			
17			
Янв			
2010			
2:31			
ПП			
"
"			
FAQ			
 			
заставляет			
задуматься			
пациента			
об			
отложении			
вопроса			
по			
их			
приему			
до			
лучших			
времен			
целесообразнее			
не			
спешить			
и			
  			
дождаться			
следующего			
поколения			
антипсихотиков			
Если			
ждать			
следующего			
поколения			
то			
можно			
упустить			
время			
и			
к			
тому			
времени			
когда			
препараты			
появятся			
можно			
быть			
глубоким			
инвалидом			
которому			
подобное			
лечение			
будет			
уже			
не			
нужно			
FAQ			
позволяет			
разрешить			
массу			
вопросов			
по			
антипсихотической			
терапии			
именно			
здесь			
и			
сейчас			
"
"			
rombeck			
сказал(а			
14			
Янв			
2010			
12:19			
ПП			
"
"			
от			
некомпетентных			
высказываний			
некоторых			
врачей			
вроде			
Иры			
А.			
У.			
"
"			
Опять			
заносит			
Ира			
А.У.			
реальный			
врач			
женщина			
Живет			
в			
глубинке			
работает			
приносит			
пользу			
людям			
Причем			
в			
сложных			
условиях			
российского			
выживания			
Для			
собственного			
самоутверждения			
совсем			
не			
обязательно			
ее			
пинать			
Рассчитываю			
на			
понимание			
"
"			
Sorokin			
сказал(а			
19			
Янв			
2010			
9:55			
ПП			
"
"			
Опять			
заносит			
Меня			
в			
отличие			
от			
вас			
Сорокин			
никогда			
никуда			
не			
заносит			
Я			
всего			
лишь			
называю			
и			
впредь			
намерен			
называть			
вещи			
своими			
именами			
и			
некомпетентность			
всегда			
называл			
и			
буду			
называть			
некомпетентностью			
глупость			
глупостью			
ложь			
ложью			
а			
хамство			
хамством			
А			
вот			
вас			
таки			
регулярно			
заносит			
в			
слепой			
ненависти			
и			
злобе			
Sorokin			
сказал(а			
19			
Янв			
2010			
9:55			
ПП			
"
"			
Ира			
А.У.			
реальный			
врач			
женщина			
Живет			
в			
глубинке			
работает			
приносит			
пользу			
людям			
Жизнь			
в			
глубинке			
равно			
как			
и			
женский			
пол			
не			
является			
оправданием			
для			
некомпетентности			
Интернет			
и			
поисковые			
машины			
Google			
и			
Medline			
ей			
вполне			
доступны			
раз			
она			
сидит			
на			
этом			
форуме			
И			
тем			
более			
жизнь			
в			
глубинке			
или			
женский			
пол			
не			
являются			
оправданием			
для			
глупых			
отмазок			
меня			
не			
так			
поняли			
и			
т.д			
когда			
уличат			
в			
некомпетентности			
для			
ссылок			
на			
чужие			
выписные			
эпикризы			
аргумент			
на			
уровне			
все			
так			
делают			
для			
пониженного			
желания			
учиться			
Впрочем			
я			
надеюсь			
что			
Ира			
А.У.			
выводы			
все			
таки			
сделает			
Максим			
в			
ее			
обучаемость			
верит			
"

"			
И			
да			
избави			
Б			
г			
от			
принесения			
людям			
такой			
пользы			
как			
назначение			
трифтазина			
с			
галоперидолом			
которое			
Ира			
посчитала			
достаточно			
стандартным			
назначением			
"

"			
Sorokin			
сказал(а			
19			
Янв			
2010			
9:55			
ПП			
"
"			
Причем			
в			
сложных			
условиях			
российского			
выживания			
Сложные			
условия			
российского			
выживания			
не			
являются			
оправданием			
для			
незнания			
или			
нежелания			
учиться			
для			
некомпетентности			
Это			
дешевая			
отмазка			
Почему			
то			
в			
России			
хватает			
и			
квалифицированных			
врачей			
а			
ведь			
им			
тоже			
нужно			
выживать			
и			
они			
тоже			
находятся			
в			
России			
Sorokin			
сказал(а			
19			
Янв			
2010			
9:55			
ПП			
"
"			
Для			
собственного			
самоутверждения			
совсем			
не			
обязательно			
ее			
пинать			
Никто			
ее			
не			
пинал			
всего			
лишь			
к			
слову			
привел			
как			
яркий			
пример			
некомпетентного			
высказывания			
ВРАЧА			
в			
обсуждаемой			
теме			
полинейролепсии			
vs			
монотерапии			
Кстати			
я			
в			
самоутверждении			
не			
нуждаюсь			
в			
отличие			
от			
некоторых			
"

"			
Sorokin			
сказал(а			
19			
Янв			
2010			
9:55			
ПП			
"
"			
Рассчитываю			
на			
понимание			
А			
я			
все			
еще			
рассчитываю			
на			
ваши			
Сорокин			
извинения			
по			
поводу			
тех			
гадостей			
оскорблений			
и			
клеветы			
которые			
вы			
писали			
в			
временно			
скрытой			
сейчас			
теме			
про			
Гришу			
и			
в			
соседней			
и			
кстати			
Извинения			
хотя			
бы			
перед			
самим			
Гришей			
которого			
вы			
также			
неоднократно			
оскорбляли			
О			
себе			
уж			
молчу			
я			
в			
ваших			
извинениях			
как			
то			
очень			
мало			
нуждаюсь			
да			
и			
в			
их			
искренность			
все			
равно			
не			
поверю			
На			
мое			
понимание			
в			
вопросе			
о			
том			
чтобы			
не			
называть			
некомпетентность			
некомпетентностью			
и			
не			
указывать			
на			
нее			
можете			
не			
рассчитывать			
Я			
всегда			
называл			
и			
буду			
называть			
вещи			
своими			
именами			
Это			
моя			
принципиальная			
позиция			
Кстати			
Сорокин			
этим			
своим			
постом			
вы			
оказали			
Ире			
А.У.			
крайне			
медвежью			
услугу			
Ира			
далеко			
не			
самый			
плохой			
и			
далеко			
не			
самый			
некомпетентный			
врач			
из			
существующих			
в			
природе			
И			
я			
упомянул			
ее			
некомпетентное			
высказывание			
лишь			
к			
слову			
